ZONA,FECHA,HORA,ID_QUEJA,LATITUD,GRAVEDAD,LONGITUD,DELITO,TIPO_LUGAR
MANHATTAN,2025-03-11,21:58:00,302443820,40.730298,FELONY,-74.00753,BURGLARY,GYM/FITNESS FACILITY
MANHATTAN,2025-09-04,05:00:00,312369703,40.704175,FELONY,-74.009977,BURGLARY,STREET
MANHATTAN,2025-05-12,06:00:00,306273766,40.736086,FELONY,-74.006711,BURGLARY,RESIDENCE - APT. HOUSE
MANHATTAN,2025-07-08,22:23:00,309978385,40.714616,FELONY,-74.011445,BURGLARY,DEPARTMENT STORE
MANHATTAN,2025-02-20,08:27:00,301406096,40.711466,FELONY,-74.012218,FELONY ASSAULT,TRANSIT FACILITY (OTHER)
MANHATTAN,2025-09-23,19:43:00,313368647,40.706327,FELONY,-74.012882,ROBBERY,CHAIN STORE
MANHATTAN,2025-07-22,13:00:00,310030796,40.706706,FELONY,-74.010935,ROBBERY,STREET
MANHATTAN,2025-09-07,21:56:00,312512369,40.717801,FELONY,-74.010611,BURGLARY,RESIDENCE - APT. HOUSE
MANHATTAN,2025-01-07,21:39:00,299057411,40.733884,FELONY,-74.005429,FELONY ASSAULT,OTHER
MANHATTAN,2025-09-29,22:49:00,313711514,40.739256,FELONY,-74.003475,BURGLARY,CLOTHING/BOUTIQUE
MANHATTAN,2025-05-01,23:24:00,305695520,40.705788,FELONY,-74.008382,BURGLARY,CONSTRUCTION SITE
MANHATTAN,2025-04-12,08:10:00,304632902,40.710037,FELONY,-74.005214,BURGLARY,RESIDENCE - APT. HOUSE
MANHATTAN,2025-08-02,03:00:00,310667945,40.704175,FELONY,-74.009977,BURGLARY,RESTAURANT/DINER
MANHATTAN,2025-04-06,04:05:00,304263724,40.710055,FELONY,-74.0074,ROBBERY,CHAIN STORE
MANHATTAN,2025-02-23,15:36:00,301545628,40.71448787598,FELONY,-74.01358485053,ROBBERY,STREET
MANHATTAN,2025-06-07,12:50:00,307708736,40.7107,FELONY,-74.007568,BURGLARY,HOTEL/MOTEL
MANHATTAN,2025-05-13,15:45:00,306344562,40.70955616,FELONY,-74.00643483,ROBBERY,TRANSIT - NYC SUBWAY
MANHATTAN,2025-04-26,05:30:00,305376401,40.724108,FELONY,-74.008474,BURGLARY,BEAUTY & NAIL SALON
MANHATTAN,2025-06-04,21:15:00,307801650,40.74347,FELONY,-74.005392,FELONY ASSAULT,RESIDENCE - PUBLIC HOUSING
MANHATTAN,2025-01-23,20:20:00,299940080,40.74347,FELONY,-74.005392,ROBBERY,RESIDENCE - PUBLIC HOUSING
MANHATTAN,2025-05-08,02:10:00,306074002,40.719382,FELONY,-74.009498,BURGLARY,COMMERCIAL BUILDING
MANHATTAN,2025-09-06,20:00:00,312482200,40.717983,FELONY,-74.005552,FELONY ASSAULT,RESIDENCE - APT. HOUSE
MANHATTAN,2025-08-28,17:40:00,312048912,40.741296,FELONY,-74.006168,FELONY ASSAULT,CLOTHING/BOUTIQUE
MANHATTAN,2025-06-28,18:11:00,308787323,40.714616,FELONY,-74.011445,BURGLARY,CHAIN STORE
MANHATTAN,2025-07-04,21:46:00,309103635,40.74347032,FELONY,-74.00723204,ROBBERY,STREET
MANHATTAN,2025-04-02,23:14:00,311250563,40.706756,FELONY,-74.010091,BURGLARY,COMMERCIAL BUILDING
MANHATTAN,2025-04-24,18:30:00,305320547,40.734203,FELONY,-74.007828,BURGLARY,SMALL MERCHANT
MANHATTAN,2025-02-14,04:45:00,301097837,40.732555,FELONY,-74.009253,ROBBERY,STREET
MANHATTAN,2025-09-06,21:45:00,312547582,40.711162,FELONY,-74.007264,FELONY ASSAULT,BAR/NIGHT CLUB
MANHATTAN,2025-02-22,21:26:00,301522237,40.752341,FELONY,-74.0045,ROBBERY,RESIDENCE - APT. HOUSE
MANHATTAN,2025-06-10,23:15:00,307892295,40.71467791,FELONY,-74.00588702,FELONY ASSAULT,STREET
MANHATTAN,2025-08-15,14:55:00,311295785,40.709922,FELONY,-74.004541,FELONY ASSAULT,HOSPITAL
MANHATTAN,2025-06-10,23:20:00,308039376,40.71492756,FELONY,-74.00793957,FELONY ASSAULT,STREET
MANHATTAN,2025-05-15,08:28:00,306462271,40.714616,FELONY,-74.011445,BURGLARY,CHAIN STORE
MANHATTAN,2025-03-13,13:02:00,302735400,40.709922,FELONY,-74.004541,FELONY ASSAULT,HOSPITAL
MANHATTAN,2025-02-25,12:45:00,301664062,40.71022031,FELONY,-74.00774423,ROBBERY,TRANSIT - NYC SUBWAY
MANHATTAN,2025-08-25,19:05:00,311874111,40.734139,FELONY,-74.003767,BURGLARY,RESIDENCE - APT. HOUSE
MANHATTAN,2025-05-28,17:10:00,307181904,40.716565,FELONY,-74.010021,BURGLARY,RESIDENCE - APT. HOUSE
MANHATTAN,2025-09-25,02:00:00,313433192,40.72062858,FELONY,-74.00520932,FELONY ASSAULT,TRANSIT - NYC SUBWAY
MANHATTAN,2025-06-26,04:30:00,308658720,40.733406,FELONY,-74.006352,FELONY ASSAULT,STREET
MANHATTAN,2025-04-20,15:55:00,305048814,40.711148,FELONY,-74.008833,ROBBERY,CHAIN STORE
MANHATTAN,2025-07-16,06:50:00,309678205,40.708984,FELONY,-74.010696,FELONY ASSAULT,STREET
MANHATTAN,2025-01-29,16:52:00,300233818,40.720537,FELONY,-74.007583,FELONY ASSAULT,PUBLIC BUILDING
MANHATTAN,2025-04-22,18:45:00,305152058,40.707153,FELONY,-74.004531,ROBBERY,CHAIN STORE
MANHATTAN,2025-08-28,23:30:00,312056370,40.704325,FELONY,-74.01036,FELONY ASSAULT,BAR/NIGHT CLUB
MANHATTAN,2025-05-26,04:45:00,307057239,40.715244,FELONY,-74.009466,BURGLARY,RESTAURANT/DINER
MANHATTAN,2025-03-29,16:00:00,304376562,40.707153,FELONY,-74.004531,BURGLARY,COMMERCIAL BUILDING
MANHATTAN,2025-06-30,22:15:00,308878278,40.702484,FELONY,-74.008547,ROBBERY,OTHER
MANHATTAN,2025-04-01,21:24:00,304045439,40.716563,FELONY,-74.009162,BURGLARY,DOCTOR/DENTIST OFFICE
MANHATTAN,2025-04-15,15:15:00,304822616,40.723441,FELONY,-74.006176,BURGLARY,CONSTRUCTION SITE
MANHATTAN,2025-02-04,12:00:00,300524785,40.74347,FELONY,-74.005392,FELONY ASSAULT,RESIDENCE - PUBLIC HOUSING
MANHATTAN,2025-01-06,08:45:00,298970107,40.707118,FELONY,-74.012229,BURGLARY,FOOD SUPERMARKET
MANHATTAN,2025-03-16,01:35:00,302887341,40.721557,FELONY,-74.004933,FELONY ASSAULT,STREET
MANHATTAN,2025-02-12,19:17:00,301052337,40.723876,FELONY,-74.004009,BURGLARY,RESIDENCE - APT. HOUSE
